Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,0.289776,0.293698,0.288622,0.293467,0.293467,478836000
2013-01-03,0.293467,0.296928,0.290237,0.293698,0.293698,298888000
2013-01-04,0.294159,0.304311,0.293236,0.303388,0.303388,524968000
2013-01-07,0.303157,0.304080,0.292544,0.294621,0.294621,610732000
2013-01-08,0.295313,0.296236,0.286084,0.288161,0.288161,466424000
2013-01-09,0.290468,0.291852,0.279855,0.281701,0.281701,695020000
2013-01-10,0.284239,0.285623,0.280547,0.282162,0.282162,506368000
2013-01-11,0.283316,0.283547,0.278932,0.281701,0.281701,513172000
2013-01-14,0.283547,0.283547,0.278240,0.281470,0.281470,305684000
2013-01-15,0.280086,0.280086,0.274779,0.276394,0.276394,375888000
2013-01-16,0.275933,0.281239,0.275933,0.278932,0.278932,337376000
2013-01-17,0.279855,0.283777,0.279163,0.282624,0.282624,580736000
2013-01-18,0.282624,0.282624,0.277317,0.280778,0.280778,397088000
2013-01-22,0.280547,0.283085,0.278009,0.279394,0.279394,308224000
2013-01-23,0.280317,0.280547,0.276856,0.279855,0.279855,421808000
2013-01-24,0.278932,0.282393,0.277548,0.281239,0.281239,396980000
2013-01-25,0.281701,0.286546,0.280317,0.286315,0.286315,393920000
2013-01-28,0.287699,0.292775,0.287007,0.290929,0.290929,422492000
2013-01-29,0.289776,0.290468,0.283547,0.284700,0.284700,388872000
2013-01-30,0.284931,0.288853,0.283316,0.284239,0.284239,287592000
2013-01-31,0.284239,0.287469,0.281009,0.282854,0.282854,470544000
2013-02-01,0.285161,0.286315,0.282854,0.285392,0.285392,288816000
2013-02-04,0.283777,0.289545,0.280317,0.280547,0.280547,511744000
2013-02-05,0.281932,0.288622,0.281009,0.287007,0.287007,367296000
2013-02-06,0.280086,0.287007,0.278471,0.284700,0.284700,530688000
2013-02-07,0.283777,0.286084,0.280778,0.283547,0.283547,440000000
2013-02-08,0.285392,0.287699,0.283546,0.285392,0.285392,307232000
2013-02-11,0.287699,0.291622,0.284931,0.288622,0.288622,408308000
2013-02-12,0.286084,0.290007,0.285623,0.286777,0.286777,277804000
2013-02-13,0.287007,0.292314,0.284469,0.285392,0.285392,856396000
2013-02-14,0.281470,0.293929,0.278009,0.293698,0.293698,882096000
2013-02-15,0.293006,0.295082,0.287238,0.293698,0.293698,733860000
2013-02-19,0.293929,0.294159,0.287930,0.289776,0.289776,433552000
2013-02-20,0.290699,0.295313,0.284700,0.285623,0.285623,713012000
2013-02-21,0.285162,0.288392,0.282854,0.283547,0.283547,580408000
2013-02-22,0.285392,0.289084,0.283777,0.288853,0.288853,370148000
2013-02-25,0.289545,0.291852,0.283316,0.283777,0.283777,644444000
2013-02-26,0.284357,0.288768,0.283429,0.287143,0.287143,487504000
2013-02-27,0.287143,0.294571,0.286447,0.292482,0.292482,476980000
2013-02-28,0.291554,0.298285,0.290393,0.293875,0.293875,591392000
2013-03-01,0.291786,0.295964,0.289232,0.295036,0.295036,389396000
2013-03-04,0.292946,0.296660,0.290625,0.293875,0.293875,353680000
2013-03-05,0.295500,0.297589,0.294107,0.297125,0.297125,366168000
2013-03-06,0.298982,0.301767,0.295500,0.296893,0.296893,342928000
2013-03-07,0.298517,0.301535,0.294571,0.296196,0.296196,314824000
2013-03-08,0.296893,0.298982,0.295500,0.297589,0.297589,246464000
2013-03-11,0.294571,0.295964,0.292250,0.294804,0.294804,299748000
2013-03-12,0.294339,0.296660,0.291553,0.295732,0.295732,310856000
2013-03-13,0.295732,0.300839,0.292946,0.295732,0.295732,485840000
2013-03-14,0.297589,0.298517,0.294107,0.295964,0.295964,383304000
2013-03-15,0.295964,0.295964,0.292250,0.293411,0.293411,355776000
2013-03-18,0.291554,0.294107,0.289232,0.291321,0.291321,298312000
2013-03-19,0.291554,0.292946,0.287375,0.289465,0.289465,355480000
2013-03-20,0.292250,0.293875,0.289697,0.292946,0.292946,340588000
2013-03-21,0.291321,0.291786,0.287840,0.288304,0.288304,339032000
2013-03-22,0.289232,0.290857,0.288072,0.289697,0.289697,232476000
2013-03-25,0.291321,0.291554,0.285983,0.288072,0.288072,362076000
2013-03-26,0.288768,0.290393,0.287607,0.290161,0.290161,232540000
2013-03-27,0.289000,0.295268,0.288304,0.293643,0.293643,254944000
2013-03-28,0.292946,0.298053,0.290857,0.297821,0.297821,349276000
2013-04-01,0.297125,0.297125,0.285983,0.288072,0.288072,442828000
2013-04-02,0.288304,0.289000,0.283197,0.285054,0.285054,371524000
2013-04-03,0.284590,0.286215,0.279483,0.281572,0.281572,353156000
2013-04-04,0.280644,0.285286,0.279715,0.284358,0.284358,294676000
2013-04-05,0.280179,0.289232,0.279483,0.289232,0.289232,551352000
2013-04-08,0.289464,0.289464,0.283197,0.288536,0.288536,326660000
2013-04-09,0.288768,0.295268,0.286679,0.293179,0.293179,380584000
2013-04-10,0.293411,0.298285,0.292714,0.297821,0.297821,384688000
2013-04-11,0.293643,0.298285,0.285518,0.296428,0.296428,969220000
2013-04-12,0.297821,0.307106,0.295268,0.303856,0.303856,770548000
2013-04-15,0.302928,0.303856,0.295732,0.297589,0.297589,430420000
2013-04-16,0.300375,0.302928,0.298750,0.300839,0.300839,468844000
2013-04-17,0.298517,0.301303,0.295036,0.296893,0.296893,532948000
2013-04-18,0.297589,0.299446,0.291089,0.291089,0.291089,402548000
2013-04-19,0.290857,0.292714,0.287143,0.291786,0.291786,303028000
2013-04-22,0.291554,0.294803,0.289232,0.292250,0.292250,245568000
2013-04-23,0.294803,0.302928,0.294339,0.299910,0.299910,376948000
2013-04-24,0.300839,0.312677,0.300607,0.310124,0.310124,556556000
2013-04-25,0.311749,0.313374,0.308963,0.312677,0.312677,353224000
2013-04-26,0.312213,0.312677,0.309660,0.311285,0.311285,324332000
2013-04-29,0.311749,0.316159,0.310356,0.314999,0.314999,269712000
2013-04-30,0.315695,0.319641,0.313606,0.319641,0.319641,276712000
2013-05-01,0.319641,0.321730,0.315695,0.316856,0.316856,341316000
2013-05-02,0.316624,0.321498,0.314766,0.320570,0.320570,323480000
2013-05-03,0.322659,0.324284,0.320802,0.321962,0.321962,293864000
2013-05-06,0.321962,0.323819,0.319177,0.321034,0.321034,217116000
2013-05-07,0.321034,0.321730,0.313838,0.316856,0.316856,448068000
2013-05-08,0.317320,0.324516,0.316159,0.322659,0.322659,334032000
2013-05-09,0.316856,0.324284,0.316391,0.322891,0.322891,566800000
2013-05-10,0.329622,0.338908,0.329622,0.337515,0.337515,861136000
2013-05-13,0.335194,0.336587,0.329158,0.330551,0.330551,289812000
2013-05-14,0.334497,0.338211,0.331248,0.335426,0.335426,454140000
2013-05-15,0.333801,0.342390,0.333801,0.341229,0.341229,313172000
2013-05-16,0.340765,0.344247,0.338444,0.339604,0.339604,308368000
2013-05-17,0.341229,0.347497,0.338676,0.345175,0.345175,312116000
2013-05-20,0.343782,0.345872,0.342622,0.344479,0.344479,236380000
2013-05-21,0.346462,0.349495,0.342496,0.348095,0.348095,357784000
2013-05-22,0.349495,0.349495,0.334563,0.335963,0.335963,480404000
2013-05-23,0.331997,0.342496,0.331064,0.341329,0.341329,393884000
2013-05-24,0.339463,0.342262,0.335496,0.339229,0.339229,283304000
2013-05-28,0.341796,0.342729,0.335730,0.338996,0.338996,279300000
2013-05-29,0.336897,0.338996,0.335497,0.336897,0.336897,335052000
2013-05-30,0.336430,0.344829,0.335497,0.341329,0.341329,284504000
2013-05-31,0.339463,0.344362,0.337596,0.337596,0.337596,577508000
